Episode,Reward,Avg_Reward_Last_1,Avg_Reward_Last_100,Avg_Reward_All,Frames_total,Time_Elapsed,Solved,Distance,Memory_Usage
1,38.14077009866761,38.14077009866761,null,38.14,30,00:02:04,False,1.3376590496964877,15495299072
2,33.036004957765435,33.036004957765435,null,35.59,60,00:04:13,False,1.2055233825922687,15484538880
3,32.89877755493284,32.89877755493284,null,34.69,90,00:06:23,False,1.2193156969005563,15615172608
4,33.047189946567975,33.047189946567975,null,34.28,120,00:08:32,False,1.20904254057125,15643295744
5,34.056709079271876,34.056709079271876,null,34.24,150,00:10:41,False,1.265842230466315,15259066368
6,33.678363886135,33.678363886135,null,34.14,180,00:12:50,False,1.2337528097753894,15214399488
7,33.22869262789539,33.22869262789539,null,34.01,210,00:14:55,False,1.2284603428132441,15185301504
8,33.364484651991845,33.364484651991845,null,33.93,240,00:17:01,False,1.2034367066897833,15542595584
9,34.884343861508384,34.884343861508384,null,34.04,270,00:19:09,False,1.2942084945583492,15542452224
10,33.08259319393527,33.08259319393527,null,33.94,300,00:21:16,False,1.178540860339346,15668817920
11,34.41068749246816,34.41068749246816,null,33.98,330,00:23:23,False,1.2844137183526725,15696351232
12,33.49531160000727,33.49531160000727,null,33.94,360,00:25:30,False,1.2263553569008336,15733448704
13,33.178112253837696,33.178112253837696,null,33.88,390,00:27:55,False,1.2119155300536342,16175996928
14,33.791672640724286,33.791672640724286,null,33.88,420,00:30:29,False,1.2566047496508042,16868786176
15,32.83994693641632,32.83994693641632,null,33.81,450,00:33:05,False,1.1918565780629662,17352110080
16,34.12641926156838,34.12641926156838,null,33.83,480,00:35:24,False,1.2304221901193628,13728071680
17,33.63412735609127,33.63412735609127,null,33.82,510,00:37:41,False,1.2592056695855949,13813575680
18,33.07149588436408,33.07149588436408,null,33.78,540,00:39:59,False,1.214688346524649,13730840576
19,33.70501187087591,33.70501187087591,null,33.77,570,00:42:26,False,1.2062194839833507,13926440960
20,32.92598841323588,32.92598841323588,null,33.73,600,00:44:53,False,1.2421369277589376,13776461824
21,33.38849618125876,33.38849618125876,null,33.71,630,00:47:23,False,1.236338034985124,13873844224
22,32.11501457055915,32.11501457055915,null,33.64,660,00:49:46,False,1.2058127438921231,13908094976
23,32.85307874095396,32.85307874095396,null,33.61,690,00:52:09,False,1.2175691971389901,13834686464
24,33.0957839786129,33.0957839786129,null,33.59,720,00:54:30,False,1.2125777074315416,13841231872
25,33.289094576488104,33.289094576488104,null,33.57,750,00:56:52,False,1.2016232860459606,13938966528
26,33.57813468282556,33.57813468282556,null,33.57,780,00:59:15,False,1.237754456892888,13897121792
27,33.809993398934004,33.809993398934004,null,33.58,810,01:01:36,False,1.2304108629025852,13881352192
28,33.747632810107085,33.747632810107085,null,33.59,840,01:03:59,False,1.2441310120296294,13893144576
29,33.219474970965074,33.219474970965074,null,33.58,870,01:06:20,False,1.2182454333112196,13912367104
30,33.378367427733586,33.378367427733586,null,33.57,900,01:08:43,False,1.2174882072312159,14071803904
31,33.90232856074607,33.90232856074607,null,33.58,930,01:11:08,False,1.2172807840501252,14108733440
32,33.26864536819206,33.26864536819206,null,33.57,960,01:13:33,False,1.234380001715151,14171312128
33,33.0420236818799,33.0420236818799,null,33.55,990,01:15:57,False,1.2533645899162944,14207201280
34,33.92987882198827,33.92987882198827,null,33.57,1020,01:18:25,False,1.2344031072875203,14230032384
35,33.12047766268854,33.12047766268854,null,33.55,1050,01:20:52,False,1.1750307733138685,14214320128
36,33.932872705738134,33.932872705738134,null,33.56,1080,01:23:18,False,1.2519713359026405,14261338112
37,32.97850390259686,32.97850390259686,null,33.55,1110,01:25:46,False,1.2147641662024269,14058799104
38,34.433018522305396,34.433018522305396,null,33.57,1140,01:28:13,False,1.2481909323406004,14178471936
39,33.738680478824634,33.738680478824634,null,33.57,1170,01:30:38,False,1.2553886040174875,14150750208
40,33.42565586649305,33.42565586649305,null,33.57,1200,01:33:03,False,1.2582109128413916,14320644096
41,32.57379805634291,32.57379805634291,null,33.55,1230,01:35:28,False,1.2036513672604094,14254309376
42,33.789065185132074,33.789065185132074,null,33.55,1260,01:37:52,False,1.221884909577541,14199074816
43,34.10193210752231,34.10193210752231,null,33.57,1290,01:40:15,False,1.2195652409612172,14189342720
44,33.558276821211706,33.558276821211706,null,33.57,1320,01:42:39,False,1.2401405736702573,14229168128
45,33.70928739927914,33.70928739927914,null,33.57,1350,01:45:03,False,1.224438115127874,14231588864
46,33.69549647608227,33.69549647608227,null,33.57,1380,01:47:27,False,1.2223230730042467,14190080000
47,33.673913120014895,33.673913120014895,null,33.57,1410,01:49:51,False,1.2389672330019654,14255841280
48,33.99599877917407,33.99599877917407,null,33.58,1440,01:52:15,False,1.2700212597776002,14111178752
49,34.33682500124226,34.33682500124226,null,33.6,1470,01:54:39,False,1.2761034089544507,14109302784
50,33.67418766124549,33.67418766124549,null,33.6,1500,01:57:03,False,1.2559757264880793,14149156864
51,33.43828075078379,33.43828075078379,null,33.6,1530,01:59:28,False,1.2246993656241512,14231900160
52,33.12191415868692,33.12191415868692,null,33.59,1560,02:01:52,False,1.2128847315212383,14303477760
53,33.895179215769275,33.895179215769275,null,33.59,1590,02:04:17,False,1.2345337603231337,14185410560
54,33.855653575943414,33.855653575943414,null,33.6,1620,02:06:45,False,1.2354896032409979,14369087488
55,33.26823590846933,33.26823590846933,null,33.59,1650,02:09:09,False,1.201141660818983,14364180480
56,34.30479065936486,34.30479065936486,null,33.6,1680,02:11:34,False,1.2608393959537747,14401384448
57,33.41290365084176,33.41290365084176,null,33.6,1710,02:13:58,False,1.2277461605480637,14348128256
58,33.35510690619531,33.35510690619531,null,33.6,1740,02:16:22,False,1.2268278582816192,14359437312
59,33.42184934660194,33.42184934660194,null,33.59,1770,02:18:50,False,1.2296516903454415,14368542720
60,32.67979859746918,32.67979859746918,null,33.58,1800,02:21:15,False,1.2211112231352914,14443278336
61,33.24383520480477,33.24383520480477,null,33.57,1830,02:23:41,False,1.2027666994699462,14477471744
62,33.85783154749926,33.85783154749926,null,33.58,1860,02:26:06,False,1.2243719560270625,14500618240
